"phenotype_number","phenotype_name","phenotype_name_short","AIC_1r","AIC_2r","deltaAIC","p","statusCode_2r","statusCode_1r"
45,"hardPalate_HHPL_hpa_hpp_distance","HHPL",3323.64414240744,3325.4396476135,-1.79550520605926,0.651116980165851,"OK","OK"
46,"hardPalate_HMTC_midsagittal_completeTrace_meanCurvature","HMTC",3559.24471899702,3561.23238007789,-1.98766108087329,0.911552363129786,"OK","OK"
47,"hardPalate_HMDC_midsagittal_domeIndices1to15_meanCurvature","HMDC",3537.88325749311,3539.76851301328,-1.88525552016472,0.734805946854556,"OK","OK"
48,"hardPalate_HMAC_midsagittal_alvRidgeInds15to19_meanCurvature","HMAC",3558.95327246886,3560.84835382367,-1.89508135480582,0.746005054347753,"OK","OK"
49,"hardPalate_HCCC_coronalCanine_completeTrace_meanCurvature","HCCC",3410.54038078337,3412.42000907202,-1.87962828864966,0.728631687813168,"OK","OK"
50,"hardPalate_HP2C_coronalPM2_completeTrace_meanCurvature","HP2C",3523.21746525732,3525.04263655611,-1.82517129878852,0.675855565139838,"OK","OK"
51,"hardPalate_HM2C_coronalM2_completeTrace_meanCurvature","HM2C",3515.11214502418,3517.06546647072,-1.95332144654503,0.82894705798082,"OK","OK"
52,"hardPalate_HBPL_basion_prosthion_distance","HBPL",2083.65340191954,2083.2981054918,0.355296427739631,0.124858149330786,"OK","OK"
53,"hardPalate_HNAP_nsa_prosthion_distance","HNAP",3427.10738247979,3429.09157483869,-1.98419235889833,0.899946887134658,"OK","OK"
54,"hardPalate_HCTH_coronalCanineTrace_height","HCTH",3329.88682724492,3331.17488259379,-1.28805534886988,0.398798989806695,"OK","OK"
55,"hardPalate_HPTH_coronalPM2Trace_height","HPTH",3291.28964412052,3293.28164592513,-1.99200180461412,0.928738092027262,"OK","OK"
56,"hardPalate_HMTH_coronalM2Trace_height","HMTH",3342.0048000632,3343.97723173045,-1.97243166725502,0.868127720220627,"OK","OK"
57,"hardPalate_HICH_intercanine_height","HICH",3411.96736703758,3413.74193323246,-1.77456619487839,0.634930459986459,"OK","OK"
58,"hardPalate_HIPH_interPM2_height","HIPH",3386.65098440995,3388.28946367146,-1.63847926150447,0.547662866982799,"OK","OK"
59,"hardPalate_HIMH_interM2_height","HIMH",3323.83417643952,3325.06593737209,-1.23176093256461,0.380762362757835,"OK","OK"
60,"hardPalate_HICL_intercanine_incisionSuperior_distance","HICL",3394.1518682091,3394.9197601148,-0.767891905701617,0.266997455335713,"OK","OK"
61,"hardPalate_HIPL_interPM2_incisionSuperior_distance","HIPL",3175.70663295817,3177.20678604317,-1.5001530850036,0.479567394128059,"OK","OK"
62,"hardPalate_HIML_interM2_incisionSuperior_distance","HIML",3038.20434880346,3038.19120481909,0.0131439843676162,0.155941861893139,"OK","OK"
63,"hardPalate_HICL_intercanine_prosthion_distance","HICL*",3375.7014593068,3375.73539482538,-0.0339355185815293,0.160866215413139,"OK","OK"
64,"hardPalate_HIPL_interPM2_prosthion_distance","HIPL*",3143.24622367162,3142.9924698628,0.25375380882133,0.133290718566061,"OK","OK"
